gene	logFC	FDR	gExp_up_in_female	V7
ENSRNOT00000086056.1	10.268	0	FALSE	Kdm5d
ENSRNOT00000086164.1	6.709	0.003	FALSE	LOC100911951
ENSRNOT00000086305.1	-5.755	0.025	TRUE	Coro7
ENSRNOT00000086342.1	6.187	0.013	FALSE	Zfp438
ENSRNOT00000086460.1	5.635	0.04	FALSE	Swt1
ENSRNOT00000086550.1	8.837	0	FALSE	Plec
ENSRNOT00000086729.1	6.771	0.003	FALSE	Epb41l4a
ENSRNOT00000086929.1	-5.743	0.026	TRUE	Mpv17l
ENSRNOT00000086999.1	-5.841	0.011	TRUE	AABR07024303.3
ENSRNOT00000087247.1	1.219	0	FALSE	AABR07015081.2
ENSRNOT00000087270.1	-4.327	0	TRUE	Tcf12
ENSRNOT00000087861.1	-7.873	0	TRUE	Vars
ENSRNOT00000087883.1	-2.594	0.002	TRUE	Foxj2
ENSRNOT00000087897.1	-5.834	0.021	TRUE	Samd9l
ENSRNOT00000087928.1	-0.652	0	TRUE	Aldoa
ENSRNOT00000087957.1	-5.551	0.037	TRUE	Lilrb3l
ENSRNOT00000087976.1	5.406	0.039	FALSE	Rn60_14_1002.4
ENSRNOT00000088025.1	-6.028	0.014	TRUE	Bclaf1
ENSRNOT00000088048.1	-0.728	0	TRUE	Adgrg1
ENSRNOT00000088111.1	1.154	0	FALSE	AABR07015055.1
ENSRNOT00000088272.1	5.742	0.033	FALSE	Sry3
ENSRNOT00000088312.1	6.784	0.003	FALSE	Tmod4
ENSRNOT00000088508.1	5.633	0.04	FALSE	Slc10a6
ENSRNOT00000088534.1	5.742	0.033	FALSE	Sry3
ENSRNOT00000088593.1	14.085	0	FALSE	Eif2s3y
ENSRNOT00000088616.1	6.433	0	FALSE	AC239701.1
ENSRNOT00000088878.1	-0.316	0.04	TRUE	Robo2
ENSRNOT00000089138.1	-8.271	0	TRUE	RGD1311345
ENSRNOT00000089235.1	1.278	0	FALSE	Mpdz
ENSRNOT00000089870.1	-8.497	0	TRUE	AC117925.4
ENSRNOT00000090422.1	-0.377	0.008	TRUE	Hbb
ENSRNOT00000090536.1	-1.362	0.043	TRUE	Rgs14
ENSRNOT00000090579.1	-1.118	0	TRUE	Pdp1
ENSRNOT00000090678.1	-2.987	0	TRUE	AABR07024041.1
ENSRNOT00000090922.1	-5.767	0.025	TRUE	Htr2c
ENSRNOT00000091100.1	-8.231	0	TRUE	Fbxw10
ENSRNOT00000091116.1	-0.693	0	TRUE	AC096370.2
ENSRNOT00000091297.1	1.492	0	FALSE	Aldh18a1
ENSRNOT00000091468.1	-6.949	0.001	TRUE	Ppt2
ENSRNOT00000091696.1	8.717	0	FALSE	B4galt6
ENSRNOT00000091757.1	5.849	0.027	FALSE	Mcpt2
ENSRNOT00000091885.1	6.865	0.002	FALSE	Mdm1
ENSRNOT00000092019.1	-0.669	0	TRUE	Eif2s3
ENSRNOT00000092078.1	10.345	0	FALSE	Ddx3y
ENSRNOT00000092178.1	7.68	0	FALSE	Uba1y
