gene logFC FDR up_in_female V7
ENSRNOT00000065584.3 0.476053898400256 0.00250690069247198 FALSE Hnrnpab
ENSRNOT00000065805.2 -2.5099249167473 0.0235468636031995 TRUE Prss56
ENSRNOT00000065890.1 -0.884489731265698 0.0395197863600152 TRUE Sesn1
ENSRNOT00000066305.4 6.14989746420046 0.0138396789390103 FALSE Pfkfb4
ENSRNOT00000066683.3 5.93632448199738 0.0222338242918432 FALSE Nol6
ENSRNOT00000066823.2 2.82276854849781 3.39344717839445e-05 FALSE Wdr74
ENSRNOT00000066917.1 -6.23398817929247 0.00880664621320812 TRUE Stag1
ENSRNOT00000067097.2 5.57636108367103 0.0439637344718473 FALSE Clec2l
ENSRNOT00000067562.2 -6.11796845123681 0.011378282844953 TRUE Aspdh
ENSRNOT00000067616.2 -0.917131051866862 0.00502388161352921 TRUE Ece1
ENSRNOT00000068395.3 -6.1495359002232 0.0105865045241203 TRUE Kif2c
ENSRNOT00000071707.3 -0.510376772672145 0.0329360740841495 TRUE LOC100912455
ENSRNOT00000071846.2 6.91386713194918 0.00177113058343379 FALSE Anln
ENSRNOT00000072398.1 1.15368633825177 2.6656804683004e-12 FALSE AABR07015066.1
ENSRNOT00000072458.2 2.17317547498632 0.000530576746062045 FALSE LOC100909593
ENSRNOT00000072528.1 -7.3175989819249 0.00035890637671559 TRUE Wbp11
ENSRNOT00000072538.2 -7.13627655514274 0.000659060794235028 TRUE Ipo5
ENSRNOT00000072762.3 8.15132086697553 6.31016344678841e-07 FALSE LOC102547059
ENSRNOT00000072786.2 -7.03626360303178 0.000871316982274609 TRUE Arhgef16
ENSRNOT00000072868.1 0.486495213200102 0.027004982461971 FALSE Safb
ENSRNOT00000073237.1 0.758417185750239 0.0458243258685719 FALSE Avil
ENSRNOT00000073353.1 6.50358889476618 0.00606445665920772 FALSE Mepce
ENSRNOT00000073435.2 7.29155544132083 0.000458374011199551 FALSE LOC100912455
ENSRNOT00000073743.2 -6.02012169559194 0.0139803717843053 TRUE Thpo
ENSRNOT00000073792.2 3.16686003157891 0.0340337851141407 FALSE AABR07029710.1
ENSRNOT00000074074.3 6.8463938966698 0.00234978821216551 FALSE Arhgef10l
ENSRNOT00000074261.2 6.34256509321882 0.00889222864514646 FALSE Tap2
ENSRNOT00000074325.1 1.13764988752496 1.07496940602213e-25 FALSE LOC100909555
ENSRNOT00000074326.1 1.29786679861233 0.022501470088204 FALSE AABR07007744.1
ENSRNOT00000075020.1 5.58448210491455 0.043724608445043 FALSE Knop1
ENSRNOT00000075494.1 5.95906648555444 0.0214887248031727 FALSE C3
ENSRNOT00000075842.1 6.45684465586454 0.00684575237174193 FALSE Nol6
ENSRNOT00000075940.1 -5.38989901521481 2.37383376532913e-88 TRUE LOC680227
ENSRNOT00000075998.2 5.82053855973092 0.0283792469760716 FALSE Suco
ENSRNOT00000076055.2 5.98373407923181 0.020005952294015 FALSE Dnal1
ENSRNOT00000076111.2 6.0535793204281 0.0171900095454673 FALSE Pappa
